GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Java CRM Application,Utilities,TimeFiles,22,130,0,4,6,31,2,10,2,8
Java CRM Application,Utilities,RBMain,15,7,3,1,4,2,3,2,1,2
Java CRM Application,Utilities,WindowSizing,103,0,6,0,25,0,10,0,7,0
Java CRM Application,Utilities,BusinessException,0,11,0,0,0,6,0,3,0,3
Java CRM Application,Utilities,LogFiles,63,25,2,0,18,8,3,2,2,2
Java CRM Application,DAO,DBQuery,11,2,0,0,4,1,2,1,2,1
Java CRM Application,DAO,DBConnection,31,5,0,0,12,2,3,2,3,2
Java CRM Application,DAO,AppointmentDaoImpl,725,3,30,0,192,1,24,1,9,1
Java CRM Application,DAO,UserDaoImpl,99,3,4,0,26,1,4,1,2,1
Java CRM Application,DAO,CustomerDaoImpl,252,3,6,0,71,1,9,1,6,1
Java CRM Application,DAO,CityDaoImpl,131,3,4,0,37,1,5,1,3,1
Java CRM Application,DAO,GeneralDaoImpl,23,3,0,0,7,1,1,1,1,1
Java CRM Application,DAO,CountryDaoImpl,116,3,4,0,34,1,5,1,3,1
Java CRM Application,DAO,AddressDaoImpl,172,3,4,0,45,1,5,1,3,1
Java CRM Application,Model,Appointment,9,170,0,0,3,68,1,36,1,36
Java CRM Application,Model,Address,6,106,0,0,2,43,1,22,1,22
Java CRM Application,Model,City,6,76,0,0,2,31,1,16,1,16
Java CRM Application,Model,Report,0,32,0,0,0,12,0,6,0,6
Java CRM Application,Model,Customer,40,96,0,0,10,39,7,20,7,20
Java CRM Application,Model,User,0,96,0,0,0,39,0,20,0,20
Java CRM Application,Model,Country,0,63,0,0,0,26,0,13,0,13
Java CRM Application,javacrm,JavaCRM,43,0,0,0,15,0,3,0,3,0
Java CRM Application,Controller,UpdateAppointmentScreenController,318,4,18,0,74,1,15,2,6,2
Java CRM Application,Controller,LoginScreenController,123,3,8,0,33,1,9,1,5,1
Java CRM Application,Controller,CalendarScreenController,392,14,26,0,96,5,27,2,14,2
Java CRM Application,Controller,UpdateCustomerScreenController,221,4,12,0,49,1,13,2,7,2
Java CRM Application,Controller,ViewCustomerScreenController,205,6,8,0,52,2,14,1,10,1
Java CRM Application,Controller,CalendarScreenController.Period,3,32,0,0,1,7,1,2,1,2
Java CRM Application,Controller,TestConditions,201,5,14,0,55,2,12,1,5,1
Java CRM Application,Controller,GeneralController,201,22,8,2,44,4,12,3,8,2
Java CRM Application,Controller,AddCustomerScreenController,177,4,14,0,40,1,12,2,5,2
Java CRM Application,Controller,ReportScreenController,146,5,7,0,33,2,9,1,3,1
Java CRM Application,Controller,GeneralController.AppScreen,15,0,0,0,1,0,1,0,1,0
Java CRM Application,Controller,AddAppointmentScreenController,270,4,22,0,69,1,18,2,7,2
Java CRM Application,Controller,MainMenuController,22,3,0,0,9,1,4,1,4,1
